name,country_mb
dvsn,Canada
Prince,United States of America
Lee Brice,United States of America
Zac Brown Band,United States of America
Randy Houser,United States of America
Rich Homie Quan,United States of America
Empire of the Sun,Australia
One Direction,United Kingdom
Fall Out Boy,United States of America
Silentó,United States of America
Missy Elliott,United States of America
Nelly,United States of America
Brad Paisley,United States of America
Curren$y,United States of America
R. City,United States of America
Adam Levine,United States of America
Rudimental,United Kingdom
iLoveMemphis,United States of America
Anitta,Brazil
David Bowie,United Kingdom
Gwen Stefani,United States of America
Monty,France
OMI,Jamaica
Felix Jaehn,Germany
Disciples,Finland
Rachel Platten,United States of America
Jess Glynne,United Kingdom
Chase Rice,United States of America
Tarrus Riley,Jamaica
Kid Ink,United States of America
Adam Lambert,United States of America
Futuristic,United States of America
Jidenna,United States of America
Naughty Boy,United Kingdom
Verdine White,United States of America
Robin Thicke,United States of America
Omarion,United States of America
Conrad Sewell,Australia
Dove Cameron,United States of America
Pia Mia,United States of America
Disclosure,United Kingdom
Afrojack,Netherlands
Frankie Ballard,United States of America
T-Wayne,United States of America
Brantley Gilbert,United States of America
AlunaGeorge,United Kingdom
Usher,United States of America
Little Big Town,United States of America
Bea Miller,United States of America
Easton Corbin,United States of America
Carly Rae Jepsen,Canada
Tech N9ne,United States of America
B.o.B,United States of America
Steven Tyler,United States of America
Catherine Dunn,United States of America
Greta Van Fleet,United States of America
George Ezra,United Kingdom
Jessie J,United Kingdom
Mohombi,Sweden
Faydee,Australia
Costi,Finland
Shaggy,Jamaica
How I Became the Bomb,United States of America
Jamie Foxx,United States of America
Hozier,Ireland
Eric Paslay,United States of America
Tyler Farr,United States of America
Sheppard,Australia
Nate Ruess,United States of America
Vance Joy,Australia
Ludacris,United States of America
Breaking Benjamin,United States of America
Thundercat,United States of America
George Clinton,United States of America
Bilal,United States of America
Snoop Dogg,United States of America
James Newton Howard,United States of America
Cashmere Cat,Norway
Prince Royce,United States of America
The Rolling Stones,United Kingdom
Chase Bryant,United States of America
Broiler,Norway
Empire Cast,United States of America
Mr. Probz,Netherlands
Robin Schulz,Germany
Mo,France
RaeLynn,United States of America
Remo,Finland
MAGIC!,Canada
John Newman,United Kingdom
Milky Chance,Germany
Rich Gang,United States of America
Charli XCX,United Kingdom
Craig Wayne Boyd,United States of America
T.I.,United States of America
Maddie & Tae,United States of America
Echosmith,United States of America
The White Buffalo,United States of America
Nico & Vinz,Norway
The Script,United Kingdom
Kiesza,Canada
OG Maco,United States of America
Jimmy Fallon,United States of America
will.i.am,United States of America
Glen Campbell,United States of America
Cher Lloyd,United Kingdom
Lil Jon,United States of America
alt-J,United Kingdom
Chris Lake,United Kingdom
Ingrid Michaelson,United States of America
MKTO,United States of America
Jack & Jack,United States of America
American Authors,United States of America
Ca$h Out,United States of America
George Strait,United States of America
Craig Campbell,United States of America
Claudia Leitte,Brazil
Wrabel,United States of America
Neon Trees,United States of America
Sara Bareilles,United States of America
Tiësto,Netherlands
Phillip Phillips,United States of America
Austin Mahone,United States of America
Passenger,Sweden
Jerrod Niemann,United States of America
Kristen Bell,United States of America
Idina Menzel,United States of America
Priscilla,France
Katie Lopez,United States of America
Arctic Monkeys,United Kingdom
Hillsong UNITED,Australia
Santino Fontana,United States of America
Thompson Square,United States of America
Majid Jordan,Canada
K. Michelle,United States of America
Soko,United States of America
AWOLNATION,United States of America
U2,Ireland
Daughtry,United States of America
The 1975,United Kingdom
The Fray,United States of America
Tegan and Sara,Canada
Danielle Bradbery,United States of America
Capital Cities,United States of America
The Neighbourhood,United States of America
Ayah Marar,United Kingdom
Hayley Williams,United States of America
Macklemore & Ryan Lewis,United States of America
Sevyn Streeter,United States of America
Kacey Musgraves,United States of America
MC Eiht,United States of America
Cassadee Pope,United States of America
Eli Young Band,United States of America
Iamsu!,United States of America
Lucy Hale,United States of America
Joe Nichols,United States of America
Hunter Hayes,United States of America
Maejor,United States of America
Tamar Braxton,United States of America
Enya,Ireland
R. Kelly,United States of America
Travie McCoy,United States of America
Bon Jovi,United States of America
Foxes,Australia
TLC,United States of America
Nile Rodgers,United States of America
Anna Kendrick,United States of America
Pearl Jam,United States of America
Mary Lambert,United States of America
Trevor Guthrie,Canada
Armin van Buuren,Netherlands
Birdman,United States of America
Mack Maine,United States of America
Mikky Ekko,United States of America
Emeli Sandé,United Kingdom
MIKA,United Kingdom
Arcade Fire,Canada
Wanz,United States of America
Nathan Sykes,United Kingdom
Lady Antebellum,United States of America
Avenged Sevenfold,United States of America
Karmin,United States of America
Sam Dew,United States of America
The Wanted,United Kingdom
Mystic,United States of America
Mumford & Sons,United Kingdom
Emblem3,United States of America
Ross Lynch,United States of America
Jason Evigan,United States of America
Akon,Senegal
LOLO,United States of America
Aaliyah,United States of America
Krewella,United States of America
Baauer,United States of America
Ace Hood,United States of America
Birdy Nam Nam,France
Jack Johnson,United States of America
Olly Murs,United Kingdom
Kelly Rowland,United States of America
GoonRock,United States of America
Florence Welch,United Kingdom
Guy Sebastian,Australia
Lupe Fiasco,United States of America
Swedish House Mafia,Sweden
John Martin,United Kingdom
Ray J,United States of America
Bobby Brackins,United States of America
Trinidad James,United States of America
Of Monsters and Men,Iceland
LL Cool J,United States of America
PSY,South Korea
Jonas Brothers,United States of America
Alicia Keys,United States of America
Jonn Hart,United States of America
fun.,United States of America
The Band Perry,United States of America
Chief Keef,United States of America
TJR,United Kingdom
Michael Bublé,Canada
Kimbra,New Zealand
Gotye,Australia
Gary Allan,United States of America
Tank,Germany
Joe Budden,United States of America
Casey James,United States of America
Chris Cagle,United States of America
The Lonely Island,United States of America
Passion Pit,United States of America
Glee Cast,United States of America
The Treblemakers,Canada
The Barden Bellas,United States of America
The Bu Harmonics,United States of America
Alex Clare,United Kingdom
Kid Rock,United States of America
Lifehouse,United States of America
Natasha Bedingfield,United Kingdom
Anne Hathaway,United States of America
Bridgit Mendler,United States of America
Kirko Bangz,United States of America
Greg Bates,United States of America
Kid Cudi,United States of America
Sammy Adams,United States of America
Christina Perri,United States of America
Matchbox Twenty,United States of America
King Chip,United States of America
Janelle Monáe,United States of America
Jana Kramer,United States of America
Keyshia Cole,United States of America
Rizzle Kicks,United Kingdom
Big & Rich,United States of America
Grouplove,United States of America
Driicky Graham,United States of America
Havana Brown,Australia
The Black Keys,United States of America
Toby Keith,United States of America
The Killers,United States of America
Sirah,United States of America
M83,France
LMFAO,United States of America
Lauren Bennett,United Kingdom
Travis Porter,United States of America
Michel Teló,Brazil
Neon Hitch,United Kingdom
Gym Class Heroes,United States of America
The Civil Wars,United States of America
Jennifer Hudson,United States of America
Gavin DeGraw,United States of America
Shinedown,United States of America
Madonna,United States of America
M.I.A.,United Kingdom
Mary J. Blige,United States of America
Rozzi,United States of America
Bella Thorne,United States of America
Selena Gomez & The Scene,United States of America
Young the Giant,United States of America
Whitney Houston,United States of America
New Boyz,United States of America
Hot Chelle Rae,United States of America
Martina McBride,United States of America
deadmau5,Canada
Lindsey Pavao,United States of America
Nipsey Hussle,United States of America
Colbie Caillat,United States of America
Nayer,United States of America
Mick Jagger,United Kingdom
Snow Patrol,United Kingdom
Nickelback,Canada
Roscoe Dash,United States of America
Alexandra Stan,Romania
Bad Meets Evil,United States of America
Ronnie Dunn,United States of America
Rodney Atkins,United States of America
Mindless Behavior,United States of America
Eva Simons,Netherlands
André 3000,United States of America
Lloyd,United States of America
Alexis Jordan,United States of America
China Anne McClain,United States of America
Evanescence,United States of America
Taio Cruz,United Kingdom
Grace Potter,United States of America
The Black Eyed Peas,United States of America
Hugh Laurie,United Kingdom
Amy Winehouse,United Kingdom
Tony Bennett,United States of America
Pistol Annies,United States of America
Tinie Tempah,United Kingdom
The Game,United States of America
Nicole Scherzinger,United States of America
Alabama,United States of America
Five Finger Death Punch,United States of America
Mat Kearney,United States of America
Kirk Franklin,United States of America
Seether,South Africa
Javier Colon,United States of America
Dia Frampton,United States of America
Eric Turner,United States of America
Vicci Martinez,United States of America
50 Cent,United States of America
Shania Twain,Canada
Dr. Dre,United States of America
Joe Jonas,United States of America
Toby Fox,United States of America
Don Omar,United States of America
Rej3ctz,United States of America
Foo Fighters,United States of America
Sara Evans,United States of America
Michael Bolton,United States of America
DJ Frank E,United States of America
Waka Flocka Flame,United States of America
Kebo Gotti,United States of America
Cory Gunz,United States of America
Keri Hilson,United States of America
Vika Jigulina,Romania
Edward Maya,Romania
